iteration,average_train_loss,average_test_loss,best_training_acc,best_training_threshold,best_testing_acc,best_testing_threshold
0,0.135818062,0.207382049,0.508359375,0.56,0.5140625,0.15
1,0.132008173,0.208160119,0.5090625,0.34,0.53203125,0.12
2,0.131517216,0.209282252,0.50921875,0.42,0.51796875,0.07
3,0.131751336,0.22375447,0.504296875,0.29,0.525,0.06
4,0.131047069,0.211128315,0.511484375,0.49,0.54140625,0.11
5,0.130926296,0.227039164,0.50953125,0.55,0.54296875,0.03
6,0.131392646,0.214527068,0.505625,0.58,0.53359375,0.09
7,0.131456947,0.23020729,0.50828125,0.56,0.5359375,0
8,0.131285059,0.210180768,0.507265625,0.53,0.52421875,0.1
9,0.131224913,0.192043564,0.51109375,0.47,0.53203125,0.14
10,0.131678115,0.203343171,0.502265625,0.44,0.54453125,0.05
11,0.131644905,0.203462233,0.504921875,0.33,0.52734375,0.16
12,0.131046729,0.201714821,0.50984375,0.5,0.53203125,0.08
13,0.130607354,0.200449969,0.51015625,0.57,0.53359375,0.08
14,0.130776922,0.182869487,0.51015625,0.66,0.5625,0.19
15,0.13107792,0.193924041,0.50796875,0.46,0.5453125,0.17
16,0.130753124,0.193799846,0.51203125,0.47,0.51796875,0.06
17,0.129937795,0.173340361,0.51375,0.57,0.55078125,0.21
18,0.12939247,0.170255338,0.519140625,0.46,0.553125,0.27
19,0.12925529,0.181031843,0.51890625,0.58,0.55390625,0.31
20,0.128784233,0.17321772,0.526953125,0.47,0.5484375,0.16
21,0.128861579,0.176949403,0.520546875,0.43,0.57265625,0.17
22,0.129014033,0.167645042,0.524375,0.54,0.55859375,0.26
23,0.126899982,0.158422598,0.537734375,0.49,0.5453125,0.35
24,0.12697059,0.149812186,0.54109375,0.48,0.60234375,0.28
25,0.124884607,0.145481117,0.553828125,0.55,0.596875,0.26
26,0.120364963,0.12736,0.58734375,0.49,0.6453125,0.37
27,0.117606217,0.133632829,0.6075,0.51,0.63046875,0.29
28,0.110600165,0.118777412,0.64421875,0.52,0.65,0.38
29,0.107721527,0.111008859,0.664296875,0.48,0.67578125,0.56
